id,category,name,manufacturer,scheme,assurance_level,protection_profile,certification_id,certification_date,archived_date,certification_report_url,security_target_url,maintenance_date,maintenance_title,maintenance_report,maintenance_st,conformance_claim,cctl,remark
1,"Access Control Devices and Systems","TouchEn Wiseaccess v1.4","RaonSecure Co., Ltd",KR,NULL,"KECS-PP-0822A-2017 SSO V1.1",NULL,06/02/2023,06/02/2028,"http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-23-38 Certification Report(TouchEn Wiseaccess v1.4).pdf","http://commoncriteriaportal.org:443/files/epfiles/wiseaccess-D-ST v1.4.4(eng).pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"Access Control Devices and Systems","OTACToken V1.0","SSenStone Inc.",KR,"EAL1+,ATE_FUN.1",NULL,NULL,05/03/2023,05/03/2028,"http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-23-31 Certification Report(OTACToken V1.0).pdf","http://commoncriteriaportal.org:443/files/epfiles/OTACToken V1.0 Security Target V1.7.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"Access Control Devices and Systems","KSignAccess V4.1","KSign Co., LTD.",KR,NULL,"KECS-PP-0822A-2017 SSO V1.1",NULL,03/30/2022,03/30/2027,"http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-22-11 Certification Report(KSignAccess V4.1).pdf","http://commoncriteriaportal.org:443/files/epfiles/KSignAccess V4.1 Security Target V1.3.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"Access Control Devices and Systems","VeroGuard HSM Digital ID for Open Networks v1.0","VeroGuard Systems Pty Ltd",AU,"EAL2+,ALC_FLR.1",NULL,NULL,02/23/2022,02/23/2027,http://commoncriteriaportal.org:443/files/epfiles/EFC-T092-VeroGuard-V1.0_CR-V1.1.pdf,"http://commoncriteriaportal.org:443/files/epfiles/EFC-T092_VeroGuard HSM Digital ID_Security_Target.v1.20.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"Access Control Devices and Systems","SafeIdentity v5.1","Hancom With Inc.",KR,NULL,"KECS-PP-0822A-2017 SSO V1.1",NULL,11/05/2021,11/05/2026,"http://commoncriteriaportal.org:443/files/epfiles/2021-11-03_KECS-CR-21-63 Certification Report(SafeIdentity v5.1) V1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/SafeIdentity v5.1 Security Target(ST) v1.2.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"Access Control Devices and Systems","Bandi SSO v7.0","Bandi S",KR,NULL,"KECS-PP-0822A-2017 SSO V1.1",NULL,09/08/2021,09/08/2026,"http://commoncriteriaportal.org:443/files/epfiles/[KECS-CR-21-52] Certification Report(Bandi SSO v7.0) V1.0.pdf",http://commoncriteriaportal.org:443/files/epfiles/Bandi_SSO_v7.0_ST_v006_eng.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"Access Control Devices and Systems","DriveLock Agent 2019.2 (Device and  Application Control) SP 1","DriveLock SE",SE,"EAL3,ALC_FLR.3",NULL,NULL,04/07/2021,04/07/2026,"http://commoncriteriaportal.org:443/files/epfiles/Certification Report - DriveLock Agent 2019.2.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST - DriveLock.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"Access Control Devices and Systems","NetIQ Identity Manager 4.7","NetIQ Corporation",SE,"EAL3+,ALC_FLR.2",NULL,NULL,06/15/2020,06/15/2025,"http://commoncriteriaportal.org:443/files/epfiles/Certification Report - NetIQ® Identity Manager 4.7.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST - NetIQ Identity Manager 4.7.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"Access Control Devices and Systems","Magic SSO V4.0","Dreamsecurity Co., Ltd.",KR,NULL,"KECS-PP-0822-2017 SSO V1.0",NULL,11/15/2019,11/15/2024,"http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-19-70 Magic SSO V4.0(eng) V1.0.pdf",http://commoncriteriaportal.org:443/files/epfiles/Magic_SSO_V4.0-ST-v1.4_EN.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"Access Control Devices and Systems","NetIQ Access Manager 4.5","NetIQ, Incorporated",NL,"EAL3+,ALC_FLR.1",NULL,NULL,11/07/2019,11/07/2024,"http://commoncriteriaportal.org:443/files/epfiles/[CR] CC-19-0006151-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/[ST] NetIQ Access Manager EAL3 ST 2.0.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
