"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Access Control Devices and Systems","TouchEn Wiseaccess v1.4","RaonSecure Co., Ltd","KR","None","KECS-PP-0822A-2017 SSO V1.1","06/02/2023","06/02/2028","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-23-38 Certification Report(TouchEn Wiseaccess v1.4).pdf","http://commoncriteriaportal.org:443/files/epfiles/wiseaccess-D-ST v1.4.4(eng).pdf","","","",""
"Access Control Devices and Systems","OTACToken V1.0","SSenStone Inc.","KR","EAL1+,ATE_FUN.1","","05/03/2023","05/03/2028","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-23-31 Certification Report(OTACToken V1.0).pdf","http://commoncriteriaportal.org:443/files/epfiles/OTACToken V1.0 Security Target V1.7.pdf","","","",""
"Access Control Devices and Systems","KSignAccess V4.1","KSign Co., LTD.","KR","None","KECS-PP-0822A-2017 SSO V1.1","03/30/2022","03/30/2027","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-22-11 Certification Report(KSignAccess V4.1).pdf","http://commoncriteriaportal.org:443/files/epfiles/KSignAccess V4.1 Security Target V1.3.pdf","","","",""
"Access Control Devices and Systems","VeroGuard HSM Digital ID for Open Networks v1.0","VeroGuard Systems Pty Ltd","AU","EAL2+,ALC_FLR.1","","02/23/2022","02/23/2027","http://commoncriteriaportal.org:443/files/epfiles/EFC-T092-VeroGuard-V1.0_CR-V1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/EFC-T092_VeroGuard HSM Digital ID_Security_Target.v1.20.pdf","","","",""
"Access Control Devices and Systems","SafeIdentity v5.1","Hancom With Inc.","KR","None","KECS-PP-0822A-2017 SSO V1.1","11/05/2021","11/05/2026","http://commoncriteriaportal.org:443/files/epfiles/2021-11-03_KECS-CR-21-63 Certification Report(SafeIdentity v5.1) V1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/SafeIdentity v5.1 Security Target(ST) v1.2.pdf","","","",""
"Access Control Devices and Systems","Bandi SSO v7.0","Bandi S","KR","None","KECS-PP-0822A-2017 SSO V1.1","09/08/2021","09/08/2026","http://commoncriteriaportal.org:443/files/epfiles/[KECS-CR-21-52] Certification Report(Bandi SSO v7.0) V1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/Bandi_SSO_v7.0_ST_v006_eng.pdf","","","",""
"Access Control Devices and Systems","DriveLock Agent 2019.2 (Device and  Application Control) SP 1","DriveLock SE","SE","EAL3,ALC_FLR.3","","04/07/2021","04/07/2026","http://commoncriteriaportal.org:443/files/epfiles/Certification Report - DriveLock Agent 2019.2.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST - DriveLock.pdf","","","",""
"Access Control Devices and Systems","NetIQ Identity Manager 4.7","NetIQ Corporation","SE","EAL3+,ALC_FLR.2","","06/15/2020","06/15/2025","http://commoncriteriaportal.org:443/files/epfiles/Certification Report - NetIQ® Identity Manager 4.7.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST - NetIQ Identity Manager 4.7.pdf","","","",""
"Access Control Devices and Systems","Magic SSO V4.0","Dreamsecurity Co., Ltd.","KR","None","KECS-PP-0822-2017 SSO V1.0","11/15/2019","11/15/2024","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-19-70 Magic SSO V4.0(eng) V1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/Magic_SSO_V4.0-ST-v1.4_EN.pdf","","","",""
"Access Control Devices and Systems","NetIQ Access Manager 4.5","NetIQ, Incorporated","NL","EAL3+,ALC_FLR.1","","11/07/2019","11/07/2024","http://commoncriteriaportal.org:443/files/epfiles/[CR] CC-19-0006151-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/[ST] NetIQ Access Manager EAL3 ST 2.0.pdf","","","",""
"Access Control Devices and Systems","Illumio Adaptive Security Platform v18.2.2","Illumio","CA","None","PP_ESM_PM_V2.1","07/12/2019","07/12/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-459 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-459 Illumio ASP Security Target v1.3 .pdf","","","",""
"Access Control Devices and Systems","openNAC Enterprise v1.2","Open Cloud Factory","ES","EAL2","","06/18/2019","06/18/2024","http://commoncriteriaportal.org:443/files/epfiles/2017-10-INF-2789.pdf","http://commoncriteriaportal.org:443/files/epfiles/2017-10-ST.pdf","","","",""
"Access Control Devices and Systems","ISign&#x2b; v3.0","PENTA SECURITY SYSTEMS INC.","KR","None","KECS-PP-0822-2017 SSO V1.0","04/10/2019","04/10/2024","http://commoncriteriaportal.org:443/files/epfiles/KECS-CISS-0924-2019_CR_EN.pdf","http://commoncriteriaportal.org:443/files/epfiles/KECS-CISS-0924-2019_ST_EN.pdf","","","",""
"Access Control Devices and Systems","Pass-Ni SSO v4.0","UbiNtisLab Co., Ltd.","KR","None","KECS-PP-0822-2017 SSO V1.0","03/04/2019","03/04/2024","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-19-11 Pass-Ni SSO v4.0(eng).pdf","http://commoncriteriaportal.org:443/files/epfiles/PassNi-SSO-v4.0-ST-V1.0.R6(EN).pdf","","","",""
"Access Control Devices and Systems","KSignAccess V4.0","KSign Co., Ltd.","KR","None","KECS-PP-0822-2017 SSO V1.0","01/11/2019","01/11/2024","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-19-01 KSignAccess V4.0(eng) V1.00.pdf","http://commoncriteriaportal.org:443/files/epfiles/KSignAccess V4.0 Security Target V1.2.pdf","","","",""
"Access Control Devices and Systems","OAM (Operation, Administration &  Management/Maintenance) Module  VCL-MX Version 6 80 E1, 160Mbps Voice & Data Multiplexer","Valiant Communications Limited  71&#x2f;1 Shivaji Marg, New Delhi-110015, India","IN","EAL1","","12/12/2018","12/11/2023","http://commoncriteriaportal.org:443/files/epfiles/CR-OAM_EAL1.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST_version1.4_Valient.pdf","","","",""
"Access Control Devices and Systems","Thycotic Secret Server Government Edition v10.0","Thycotic","CA","None","PP_ESM_ICM_V2.1","10/23/2018","09/11/2023","http://commoncriteriaportal.org:443/files/epfiles/383-4-445 CR v1.1e.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-445 ST v1.5.pdf","","","",""
"Access Control Devices and Systems","TouchEn wiseaccess v1.3","RaonSecure Co., Ltd","KR","None","KECS-PP-0822-2017 SSO V1.0","09/20/2018","09/20/2023","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-18-44 Certification Report.pdf","http://commoncriteriaportal.org:443/files/epfiles/wiseaccess-D-ST v1.3.07(eng).pdf","","","",""
"Access Control Devices and Systems","INISAFE Nexess V4","INITECH","KR","None","KECS-PP-0822-2017 SSO V1.0","08/20/2018","08/20/2023","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-18-36 INISAFE Nexess V4(eng).pdf","http://commoncriteriaportal.org:443/files/epfiles/CCP.C_NX42_Security_Target(ST_lite)_V1.13(EN).pdf","","","",""
"Boundary Protection Devices and Systems","DataDiodeX Modules v1.0.0","Dataflowx Teknoloji A.S.","TR","EAL4+,AVA_VAN.5","","06/13/2023","06/13/2028","http://commoncriteriaportal.org:443/files/epfiles/CCCS CERTIFICATION REPORT.pdf","http://commoncriteriaportal.org:443/files/epfiles/DataDiodeX_ST Lite.pdf","","","",""
"Boundary Protection Devices and Systems","Antikor Next Generation Firewall Management v2.0.1188","Epati Siber Güvenlik Tek. San. ve Tic. A.S.","TR","EAL4+,ALC_FLR.1","","04/17/2023","04/17/2028","http://commoncriteriaportal.org:443/files/epfiles/Antikor Next Gen Firewall CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST Document.pdf","","","",""
"Boundary Protection Devices and Systems","genuscreen 8.0","genua GmbH","DE","EAL4+,ALC_FLR.2,ALC_PAM.1,ASE_TSS.2,AVA_VAN.4","","04/06/2023","04/05/2028","http://commoncriteriaportal.org:443/files/epfiles/1194a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1194b_pdf.pdf","","","",""
"Boundary Protection Devices and Systems","Waterfall Unidirectional Security Gateway WF-500, Version 2.0","Waterfall Security Solutions Ltd.","NL","EAL4+,ALC_DVS.2,ALC_FLR.2,AVA_VAN.5","","03/24/2023","03/24/2028","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0618820-CR-1.pdf","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0618820-STv3.pdf","","","",""
"Boundary Protection Devices and Systems","Cisco Firepower Threat Defense (FTD) 6.4 with FMC and AnyConnect","Cisco Systems, Inc. 170 West Tasman  Dr.  San Jose, CA 95134-1706 USA","NL","EAL4+,ALC_FLR.2","","10/07/2022","10/07/2027","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0259553-CR-1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0259553-st-v1.0.pdf","","","",""
"Boundary Protection Devices and Systems","Hillstone SG-6000 A-Series NGFW and StoneOS 5.5R9","Hillstone Network Corp.","NL","EAL4,ALC_FLR.1","","09/27/2022","09/27/2027","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0476172-CR-1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0476172-ST_V1.1.pdf","","","",""
"Boundary Protection Devices and Systems","Owl XDE Radium v1.3","Owl Cyber Defense Solutions, LLC","SE","EAL4+,AVA_VAN.4","","09/19/2022","09/19/2027","http://commoncriteriaportal.org:443/files/epfiles/Certification Report - Owl XDE Radium v13.pdf","http://commoncriteriaportal.org:443/files/epfiles/Owl XDE Radium_SecurityTarget_EAL4 plus_V1.3.pdf","","","",""
"Boundary Protection Devices and Systems","McAfee Endpoint Security 10.7.x with ePolicy Orchestrator 5.10.x","Trellix","CA","EAL2+,ALC_FLR.2","","07/28/2022","07/28/2027","http://commoncriteriaportal.org:443/files/epfiles/555-EWA CR v1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/MFE ENS 10-7 ST 10 July 22.pdf","","","",""
"Boundary Protection Devices and Systems","AhnLab CPP 1.0","AhnLab, Inc.","CA","EAL2+,ALC_FLR.1","","07/14/2022","07/14/2027","http://commoncriteriaportal.org:443/files/epfiles/570 LSS CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/570-LSS AhnLab CPP Security Target_2.5.pdf","","","",""
"Boundary Protection Devices and Systems","ST Engineering Data Diode Model 5282, version 2.2.1055 & Model 5283 version 2.2.1055","ST Engineering Electronics","SG","EAL4+,AVA_VAN.5","","07/08/2022","07/08/2027","http://commoncriteriaportal.org:443/files/epfiles/[CER] Certificate Report - ST Engineering Data Diode model 5282 and 5283.pdf","http://commoncriteriaportal.org:443/files/epfiles/[DD] STEng Data Diode Security Target_v4.0_EAL4.pdf","","","",""
"Boundary Protection Devices and Systems","Trend Micro Deep Security 20","Trend Micro Inc.","CA","EAL2+,ALC_FLR.1","","05/31/2022","05/31/2027","http://commoncriteriaportal.org:443/files/epfiles/561-LSS CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/561-LSS ST v12.0.pdf","","","",""
"Boundary Protection Devices and Systems","TNOR Guard v. 1.1.3","Thales Norway AS","NO","EAL4+,ALC_FLR.3,AVA_VAN.4","","05/12/2022","05/12/2027","http://commoncriteriaportal.org:443/files/epfiles/SERTIT-120 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/TNOR Guards 739_20726_aaaa_sc_ed10-4-public.pdf","","","",""
"Boundary Protection Devices and Systems","FortiGate/FortiOS Version 6.2.7","Fortinet, Inc.","CA","None","CPP_ND_V2.2E,MOD_CPP_FW_V1.4E,MOD_IPS_V1.0,MOD_VPNGW_V1.1","01/14/2022","01/14/2026","http://commoncriteriaportal.org:443/files/epfiles/559-LSS CR v1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/559-LSS ST v1.7.pdf","","","",""
"Boundary Protection Devices and Systems","Fortinet FortiGate™ Next Generation Firewalls with FortiOS 6.2.7","Fortinet, Inc.","CA","EAL4+,ADV_FSP.3","","10/15/2021","10/15/2026","http://commoncriteriaportal.org:443/files/epfiles/515-EWA CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/515-EWA ST 1.10.pdf","","","",""
"Boundary Protection Devices and Systems","SDoT Security Gateway, Version 6.2i","INFODAS  Gesellschaft für Systementwicklung und informationsverarbeitung mbH","DE","EAL4+,ALC_FLR.2","","09/27/2021","09/27/2026","http://commoncriteriaportal.org:443/files/epfiles/1129a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1129b_pdf.pdf","","","",""
"Boundary Protection Devices and Systems","Blackline Systems Corporation BSC-CDS Unidirectional Subsystem PN: 710-0185-00","Blackline Systems Corporation","CA","EAL4+,ADV_INT.2,ALC_CMC.5,ALC_CMS.5,ALC_DVS.2,ALC_FLR.3,ATE_DPT.2,AVA_VAN.4","","09/15/2021","09/15/2026","http://commoncriteriaportal.org:443/files/epfiles/531-LSS CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/531-LSS ST v0.9.pdf","","","",""
"Boundary Protection Devices and Systems","Sphyrna Security Unidirectional Gateway - Data Diode Identifier: 2010-UG100-SSI","Sphyrna Security Incorporated","CA","EAL4+,ADV_INT.2,ALC_CMC.5,ALC_CMS.5,ALC_DVS.2,ALC_FLR.3,ATE_DPT.2,AVA_VAN.4","","09/07/2021","09/07/2026","http://commoncriteriaportal.org:443/files/epfiles/536-LSS CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/536-LSS ST v1.0.pdf","","","",""
