id,manufacturer,name,certification_id,assurance_level,certification_date,archived_date,remark
1,北京神州绿盟科技有限公司,"绿盟网络入侵检测系统(千兆） V5.6",CNITSEC2022PRD1119,EAL3+,20220909,20250908,NULL
2,北京神州绿盟科技有限公司,"绿盟网络入侵检测系统(万兆） V5.6",CNITSEC2022PRD1120,EAL3+,20220909,20250908,NULL
3,奇安信网神信息技术（北京）股份有限公司,奇安信网神网络流量采集与威胁检测系统NDS（万兆）V4.0,CNITSEC2022PRD1121,EAL3+,20220916,20250915,NULL
4,奇安信网神信息技术（北京）股份有限公司,奇安信网神网络流量采集与威胁检测系统NDS（千兆）V4.0,CNITSEC2022PRD1122,EAL3+,20220916,20250915,NULL
5,杭州迪普科技股份有限公司,"迪普防火墙（千兆）DPtech FW1000 V1.0",CNITSEC2022PRD1123,EAL4+,20220921,20250920,NULL
6,杭州迪普科技股份有限公司,"迪普防火墙（万兆）DPtech FW1000 V1.0",CNITSEC2022PRD1124,EAL4+,20220921,20250920,NULL
7,北京天融信网络安全技术有限公司,"天融信日志收集与分析系统 V3",CNITSEC2022PRD1125,EAL3+,20220915,20250914,NULL
8,济南浪潮数据技术有限公司,"InCloud Sphere V6",CNITSEC2022PRD1126,EAL3+,20220926,20250925,NULL
9,北京神州绿盟科技有限公司,绿盟网络入侵防护系统（千兆）V5.6,CNITSEC2022PRD1127,EAL4+,20220930,20250929,NULL
10,北京神州绿盟科技有限公司,绿盟网络入侵防护系统（万兆）V5.6,CNITSEC2022PRD1128,EAL4+,20220930,20250929,NULL
11,北京神州慧安科技有限公司,工业防火墙SZHA-ICFW(PK)/Version2.0,CNITSEC2022PRD1129,EAL3+,20220916,20250915,NULL
12,国家广播电视总局广播电视科学研究院,"智能电视操作系统 TVOS4.0",CNITSEC2022PRD1130,EAL3,20221011,20251010,NULL
13,杭州网易竹邮科技有限公司,"网易企业邮箱系统 V3.0",CNITSEC2022PRD1131,EAL3+,20221025,20251024,NULL
14,奇安信网神信息技术（北京）股份有限公司,"网神SecVSS 3600漏洞扫描系统 V3.0",CNITSEC2022PRD1132,EAL3+,20221025,20251024,NULL
15,深圳市财富趋势科技股份有限公司,通达信证券交易系统软件V4.5,CNITSEC2022PRD1133,EAL2,20221024,20251023,NULL
16,湖南国科微电子股份有限公司,超高清解码芯片GK6323V100S,CNITSEC2022PRD1108,EAL3+,20220622,20250621,NULL
17,北京启明星辰信息安全技术有限公司,天珣内网安全风险管理与审计系统V6.6,CNITSEC2022PRD1109,EAL2,20220725,20250724,NULL
18,北京网御星云信息技术有限公司,网御内网安全管理系统V3.0,CNITSEC2022PRD1110,EAL2,20220725,20250724,NULL
19,北京安天网络安全技术有限公司,"安天智甲终端防御系统 V5.0",CNITSEC2022PRD1111,EAL3,20220725,20250724,NULL
20,恒宝股份有限公司,"扩展型智能密码钥匙蓝牙型（UranuSafe Ex-BKey）V5.0",CNITSEC2022PRD1112,EAL4+,20220729,20250728,NULL
21,奇安信网神信息技术（北京）股份有限公司,网神SecGate3600安全网关NSG（千兆）/V3.6.6.0,CNITSEC2022PRD1113,EAL4+,20220727,20250726,NULL
22,奇安信网神信息技术（北京）股份有限公司,网神SecGate3600安全网关NSG（万兆）/V3.6.6.0,CNITSEC2022PRD1114,EAL4+,20220727,20250726,NULL
23,北京神州绿盟科技有限公司,绿盟网络安全漏洞扫描系统V6.0,CNITSEC2022PRD1115,EAL3+,20220805,20250804,NULL
24,广东盈世计算机科技有限公司,"论客Coremail XT安全增强电子邮件系统 V6.0",CNITSEC2022PRD1116,EAL3+,20220812,20250811,NULL
25,北京宏思电子技术有限责任公司,"USBKey 芯片 HSCK2",CNITSEC2022PRD1117,EAL4+,20220817,20250816,NULL
26,天地融科技股份有限公司,"OnKey193D 蓝牙型 USBKey V2.3",CNITSEC2022PRD1118,EAL4+,20220824,20250823,NULL
27,中国电子科技网络信息安全有限公司,全流量分析检测系统（CE-FFAD-2000-D）V1.0,CNITSEC2022PRD1097,EAL2,20220601,20250531,NULL
28,北京网康科技有限公司,"网康互联网控制网关NS-ICG V8.0",CNITSEC2022PRD1098,EAL3+,20220606,20250605,NULL
29,奇安信网神信息技术（北京）股份有限公司,"奇安信网神网络安全审计系统 NSA V7.0",CNITSEC2022PRD1099,EAL3+,20220606,20250605,NULL
30,奇安信网神信息技术（北京）股份有限公司,"奇安信网神上网行为管理与审计系统 NBM V7.0",CNITSEC2022PRD1100,EAL3+,20220606,20250605,NULL
31,北京长亭科技有限公司,长亭雷池Web应用防火墙SL-C10/W10（万兆）V1.0,CNITSEC2022PRD1101,EAL3+,20220526,20250525,NULL
32,北京长亭未来科技有限公司,长亭雷池（SafeLine）WEB应用防火墙SL（千兆）V2.0,CNITSEC2022PRD1102,EAL3+,20220526,20250525,NULL
33,北京长亭未来科技有限公司,长亭雷池（SafeLine）WEB应用防火墙SL（万兆）V2.0,CNITSEC2022PRD1103,EAL3+,20220526,20250525,NULL
34,华为技术有限公司,HiSecEngineAntiDDos12000(万兆）V6,CNITSEC2022PRD1104,EAL3+,20220613,20250612,NULL
35,华为技术有限公司,"HiSec Insight 高级威胁分析系统 V1",CNITSEC2022PRD1105,EAL3+,20220616,20250615,NULL
36,杭州迪普科技股份有限公司,"迪普工控防火墙（千兆）DPtech IFW1000 V1.0",CNITSEC2022PRD1106,EAL3+,20220511,20250510,NULL
37,杭州迪普科技股份有限公司,"迪普工控监测审计系统（千兆）DPtech IMA3000 V1.0",CNITSEC2022PRD1107,EAL3+,20220511,20250510,NULL
38,北京东土科技股份有限公司,"Intewell 工业级网络操作系统V1.0工业关键运行模块",CNITSEC2022I&amp;OE0048,自主原创,20220506,20250505,NULL
39,合肥大唐存储科技有限公司,"DSS510 关键电路模块及固件",CNITSEC2022I&amp;OE0049,自主原创,20220531,20250530,NULL
40,上海海思技术有限公司,盘古M900关键电路模块,CNITSEC2022I&amp;OE0050,自主原创,20220602,20250601,NULL
41,上海爱信诺航芯电子科技有限公司,"设备认证芯片 ACL16_SLG",CNITSEC2022PRD1088,EAL4+,20220316,20250315,NULL
42,杭州迪普科技股份有限公司,"迪普入侵检测系统（千兆）DPtech IDS2000 V1.0",CNITSEC2022PRD1089,EAL3+,20220413,20250412,NULL
43,杭州迪普科技股份有限公司,"迪普入侵检测系统（万兆）DPtech IDS2000 V1.0",CNITSEC2022PRD1090,EAL3+,20220413,20250412,NULL
44,杭州迪普科技股份有限公司,"迪普入侵防御系统（千兆）DPtech IPS2000 V1.0",CNITSEC2022PRD1091,EAL3+,20220413,20250412,NULL
45,杭州迪普科技股份有限公司,"迪普入侵防御系统（万兆）DPtech IPS2000 V1.0",CNITSEC2022PRD1092,EAL3+,20220413,20250412,NULL
46,杭州迪普科技股份有限公司,"迪普Web应用防火墙（千兆）DPtech WAF3000 V1.0",CNITSEC2022PRD1093,EAL3+,20220418,20250417,NULL
47,杭州迪普科技股份有限公司,"迪普Web应用防火墙（万兆）DPtech WAF3000 V1.0",CNITSEC2022PRD1094,EAL3+,20220418,20250417,NULL
48,深信服科技股份有限公司,"深信服全网行为管理系统 AC-1000 V13.0",CNITSEC2022PRD1095,EAL3+,20220426,20250425,NULL
49,华为技术有限公司,"HUAWEI FireHunter沙箱APT防御系统 V1",CNITSEC2022PRD1096,EAL3+,20220426,20250425,NULL
50,医渡云（北京）技术有限公司,医学数据智能平台核心模块（2.7.0版本）,CNITSEC2022I&amp;OE0045,自主原创,20220325,20250324,NULL
51,医渡云（北京）技术有限公司,专病智能科研平台核心模块（8.0.0版本）,CNITSEC2022I&amp;OE0046,自主原创,20220325,20250324,NULL
52,阿里云计算有限公司,"阿里云PolarDB V2.0内核核心模块",CNITSEC2022I&amp;OE0047,自主原创,20220426,20250425,NULL
53,合肥大唐存储科技有限公司,"存储控制器芯片 DSS510",CNITSEC2022PRD1082,EAL5+,20220111,20250110,NULL
54,北京华大智宝电子系统有限公司,"华大蓝牙通用型智能密码钥匙 uKeyCI800 V2.0",CNITSEC2022PRD1083,EAL4+,20220128,20250127,NULL
55,北京启明星辰信息安全技术有限公司,"天清入侵防御系统 V6.0（万兆）",CNITSEC2022PRD1084,EAL3+,20220127,20250126,NULL
56,北京网御星云信息技术有限公司,"网御入侵防护系统 V3.0（千兆）",CNITSEC2022PRD1085,EAL3+,20220127,20250126,NULL
57,北京网御星云信息技术有限公司,"网御入侵防护系统 V3.0（万兆）",CNITSEC2022PRD1086,EAL3+,20220127,20250126,NULL
58,湖南新云网科技有限公司,"安全隔离计算机主板 V1.0",CNITSEC2022PRD1087,EAL1,20220128,20250127,NULL
59,北京神州绿盟科技有限公司,绿盟工控安全审计系统V6.0,CNITSEC2021PRD1072,EAL3+,20210915,20240914,NULL
60,北京忆芯科技有限公司,"固态硬盘控制器STAR1000P REV1.0",CNITSEC2021PRD1073,EAL3,20211013,20241012,NULL
61,北京中科网威信息技术有限公司,"中科神威防火墙（万兆）NSFW-12000 V6.0",CNITSEC2021PRD1074,EAL1,20211112,20241111,NULL
62,北京神州绿盟科技有限公司,"绿盟智能安全运营平台 V3.0",CNITSEC2021PRD1075,EAL3+,20211102,20241101,NULL
63,北京天融信网络安全技术有限公司,"天融信过滤网关系统TopFilter 8000 V3",CNITSEC2021PRD1076,EAL3+,20210915,20240914,NULL
64,网神信息技术（北京）股份有限公司,奇安信网神运维安全管理系统V6.0,CNITSEC2021PRD1077,EAL3+,20211129,20241128,NULL
65,中电和瑞科技有限公司,"中电和瑞工控防火墙CEC-ISG 1000/V2.1",CNITSEC2021PRD1078,EAL3+,20211206,20241205,NULL
66,元心信息科技集团有限公司,"元心安全微内核操作系统 V2.0",CNITSEC2021PRD1079,EAL5+,20211117,20241116,NULL
67,恒宝股份有限公司,"扩展型智能密码钥匙 （UranuSafeEx-Key）V4.0",CNITSEC2021PRD1080,EAL4+,20211220,20241219,NULL
68,中保国信（北京）技术有限公司,"中保天察WEB应用防火墙 3.0",CNITSEC2021PRD1081,EAL3+,20211223,20241222,NULL
69,北京忆芯科技有限公司,STAR1000P关键电路模块及固件,CNITSEC2021I&amp;OE0042,自主原创,20211013,20241012,NULL
70,元心信息科技集团有限公司,元心移动操作系统V5系统框架关键模块,CNITSEC2021I&amp;OE0043,自主原创,20211011,20241010,NULL
71,网神信息技术（北京）股份有限公司,网神SecGate3600防火墙V3.6.6.0核心功能模块,CNITSEC2021I&amp;OE0044,自主原创,20211125,20241124,NULL
72,成都科来网络技术有限公司,"科来网络流量分析审计系统 V7.0",CNITSEC2021PRD1055,EAL1,20210723,20240722,NULL
73,华为技术有限公司,"HUAWEI USG9000防火墙（万兆）V5",CNITSEC2021PRD1056,EAL3+,20210630,20240629,NULL
74,拓尔思天行网安信息技术有限责任公司,"天行单向隔离光闸（Topwalk-FGAP V3.0)",CNITSEC2021PRD1057,EAL3+,20210802,20240801,NULL
75,国民技术股份有限公司,"智能密码钥匙芯片 N32S033",CNITSEC2021PRD1058,EAL4+,20210729,20240728,NULL
76,北京天融信网络安全技术有限公司,"天融信终端威胁防御系统 V1",CNITSEC2021PRD1059,EAL3+,20210729,20240728,NULL
77,兆讯恒达科技股份有限公司,"USBKey 芯片    MH1706",CNITSEC2021PRD1060,EAL4+,20210831,20240830,NULL
78,网神信息技术（北京）股份有限公司,"网神SecGate 3600防火墙NSG（千兆）V3.6.6.0",CNITSEC2021PRD1061,EAL4+,20210913,20240912,NULL
79,网神信息技术（北京）股份有限公司,"网神SecGate 3600防火墙NSG（万兆）V3.6.6.0",CNITSEC2021PRD1062,EAL4+,20210913,20240912,NULL
80,北京启明星辰信息安全技术有限公司,"天清汉马USG防火墙 V2.6（千兆）",CNITSEC2021PRD1063,EAL4+,20210907,20240906,NULL
81,北京启明星辰信息安全技术有限公司,"天清汉马USG防火墙 V2.6（万兆）",CNITSEC2021PRD1064,EAL4+,20210907,20240906,NULL
82,北京网御星云信息技术有限公司,"网御防火墙系统 V3.0（千兆）",CNITSEC2021PRD1065,EAL4+,20210907,20240906,NULL
83,北京网御星云信息技术有限公司,"网御防火墙系统 V3.0（万兆）",CNITSEC2021PRD1066,EAL4+,20210907,20240906,NULL
84,北京升鑫网络科技有限公司,"青藤主机自适应安全平台 V3.0",CNITSEC2021PRD1067,EAL3+,20210910,20240909,NULL
85,北京天融信网络安全技术有限公司,天融信防火墙系统NGFW4000-UF（千兆）V3,CNITSEC2021PRD1068,EAL4+,20210916,20240915,NULL
86,北京天融信网络安全技术有限公司,天融信防火墙系统NGFW4000-UF（万兆）V3,CNITSEC2021PRD1069,EAL4+,20210916,20240915,NULL
87,北京安天网络安全技术有限公司 ,"安天追影威胁分析系统 V3.0",CNITSEC2021PRD1070,EAL3+,20210918,20240917,NULL
88,北京安天网络安全技术有限公司 ,"安天探海威胁检测系统 V6.0",CNITSEC2021PRD1071,EAL3+,20210918,20240917,NULL
89,任子行网络技术股份有限公司,"任子行防火墙SURF-NGSA(千兆) V10.0",CNITSEC2021PRD1044,EAL3+,2021/4/28,2024/4/27,NULL
90,任子行网络技术股份有限公司,"任子行防火墙SURF-NGSA(万兆) V10.0",CNITSEC2021PRD1045,EAL3+,2021/4/28,2024/4/27,NULL
91,深信服科技股份有限公司,"深信服WEB应用防护系统WAF-1000 V8.0（千兆）",CNITSEC2021PRD1046,EAL3+,2021/4/28,2024/4/27,NULL
92,深信服科技股份有限公司,"深信服WEB应用防护系统WAF-2000 V8.0（万兆）",CNITSEC2021PRD1047,EAL3+,2021/4/28,2024/4/27,NULL
93,用友网络科技股份有限公司,"NCCLOUD V2021",CNITSEC2021PRD1048,EAL3+,2021/4/25,2024/4/24,NULL
94,北京中测安华科技有限公司,中测云海数据泄露防护产品V2.0,CNITSEC2021PRD1049,EAL3+,2021/5/26,2024/5/25,NULL
95,神州灵云（北京）科技有限公司,"NetSensor网络全流量分析系统 V1.0",CNITSEC2021PRD1050,EAL1,2021/5/20,2024/5/19,NULL
96,网神信息技术（北京)股份有限公司,"网神 SecFox 日志收集与分析系统 V5.0",CNITSEC2021PRD1051,EAL3+,2021/6/2,2024/6/1,NULL
97,华为技术有限公司,"HUAWEI  AntiDDoS1000（万兆）V6",CNITSEC2021PRD1052,EAL3+,2021/6/17,2024/6/16,NULL
98,华为技术有限公司,"HUAWEI  AntiDDoS8000(万兆) V5",CNITSEC2021PRD1053,EAL3+,2021/6/17,2024/6/16,NULL
99,北京圣博润高新技术股份有限公司,LanSecS（堡垒主机）内控管理平台NK/V2.0,CNITSEC2021PRD1054,EAL3+,2021/6/22,2024/6/21,NULL
100,北京中测安华科技有限公司,"中测云海数据防泄漏系统NG_DLP_1G  V1.0（敏感数据泄漏检测和防护模块）",CNITSEC2021I&amp;OE0038,自主原创,2021/6/17,2024/6/16,NULL
101,腾讯云计算（北京）有限责任公司,"TDSQL 关系型数据库管理系统软件 V8.0（内核存储模块、高可用模块）",CNITSEC2021I&amp;OE0039,自主原创,2021/6/8,2024/6/7,NULL
102,腾讯云计算（北京）有限责任公司,"腾讯 HTAP 关系型数据库TBase管理系统 V5.0（运维管理模块、内核安全模块、高可",CNITSEC2021I&amp;OE0040,自主原创,2021/6/8,2024/6/7,NULL
103,腾讯云计算（北京）有限责任公司,腾讯云分布式数据库TDSQL管理系统V10.3（SQL引擎、内核存储模块、高可用模块）,CNITSEC2021I&amp;OE0041,自主原创,2021/6/8,2024/6/7,NULL
104,深圳安泰创新科技股份有限公司,"安泰创新全景在线移动医疗应用系统软件 V1.0",CNITSEC2021PRD1038,EAL1,2021/2/3,2024/2/2,NULL
105,杭州安恒信息技术股份有限公司,明御运维审计与风险控制系统DAS-USM/V2.0,CNITSEC2021PRD1039,EAL3+,2021/3/15,2024/3/14,NULL
